neuron,category,formula,threshold
0,((scene OR object OR object OR object OR object OR object) AND NOT (scene OR object OR object)),((reception-s OR work surface OR bar OR kitchen island OR stove OR ticket counter) AND NOT (galley-s OR door OR table)),5.1
1,(part OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR object),(shop window OR pantry-s OR liquor store-outdoor-s OR shopfront-s OR toyshop-s OR shoe shop-s OR gift shop-s OR convenience store-outdoor-s OR pub-outdoor-s OR trade name),5.0
2,(((((object OR scene OR object OR object) AND NOT scene) OR scene OR scene OR scene) AND NOT object) OR scene),(((((sea OR marsh-s OR lake OR island) AND NOT ocean-s) OR golf course-s OR bayou-s OR watering hole-s) AND NOT bush) OR bog-s),4.6
3,(((scene OR scene OR scene OR scene OR scene OR scene) AND NOT object) OR object OR object),(((auditorium-s OR movie theater-indoor-s OR theater-indoor procenium-s OR home theater-s OR conference center-s OR lecture room-s) AND NOT ceiling) OR silver screen OR blackboard),4.6
4,((scene OR scene OR scene OR part OR object OR object OR scene) AND NOT (scene OR scene OR scene)),((courthouse-s OR throne room-s OR ballroom-s OR column OR chandelier OR bandstand OR embassy-s) AND NOT (street-s OR living room-s OR bedroom-s)),5.4
5,(object OR scene OR scene OR object OR object OR scene OR object OR object OR object OR object),(toilet OR slum-s OR pantry-s OR rubbish OR box OR bazaar-outdoor-s OR washer OR bucket OR plaything OR apparel),4.4
6,(scene OR object OR object OR object OR object OR scene OR scene OR scene OR object OR scene),(gazebo-exterior-s OR tent OR dome OR big top OR island OR hut-s OR butte-s OR mausoleum-s OR greenhouse OR dolmen-s),4.8
7,((scene OR scene OR scene OR object OR object) AND NOT (scene OR object)),((vineyard-s OR orchard-s OR corn field-s OR vineyard OR barrels) AND NOT (warehouse-indoor-s OR hedge)),3.7
8,(((scene OR object OR object OR scene OR object OR object OR scene OR scene) AND NOT object) OR scene),(((greenhouse-indoor-s OR flower OR greenhouse OR vegetable garden-s OR vineyard OR leaves OR florist shop-indoor-s OR corn field-s) AND NOT field) OR herb garden-s),4.6
9,(((((object AND color) OR scene OR object OR scene) AND NOT scene) OR object) AND NOT (scene OR scene OR object)),(((((grass AND green-c) OR ball pit-s OR plaything OR kindergarden classroom-s) AND NOT pasture-s) OR fruit) AND NOT (golf course-s OR forest path-s OR person)),4.4
10,(((((((scene OR scene) AND NOT object) OR scene OR scene) AND NOT (object OR object)) OR scene) AND NOT object) OR scene),(((((((highway-s OR field-cultivated-s) AND NOT sky) OR desert-sand-s OR wheat field-s) AND NOT (sky OR bridge)) OR field road-s) AND NOT earth) OR mountain road-s),4.4
11,((((object OR scene) AND NOT part) OR object) AND NOT scene),((((person OR booth-indoor-s) AND NOT head) OR text) AND NOT art studio-s),3.5
12,((scene AND object) OR scene OR scene OR object OR object OR object OR scene OR object OR scene),((dining room-s AND table) OR fire escape-s OR catacomb-s OR altar OR shelter OR porch OR throne room-s OR altarpiece OR waterfall-fan-s),4.1
13,(scene OR scene OR object OR scene OR object OR scene OR scene OR object OR scene OR scene),(islet-s OR cavern-indoor-s OR canopy OR rope bridge-s OR carousel OR catacomb-s OR bedchamber-s OR altarpiece OR bayou-s OR lagoon-s),4.1
14,(scene OR object OR scene OR scene OR object OR scene OR scene OR scene OR scene OR object),(boxing ring-s OR fence OR bleachers-indoor-s OR corral-s OR bench OR wrestling ring-indoor-s OR military hut-s OR bakery-kitchen-s OR bleachers-outdoor-s OR hovel),5.2
15,((scene OR scene OR object OR scene) AND NOT object),((operating room-s OR hospital room-s OR cradle OR dentists office-s) AND NOT windowpane),5.4
16,(scene OR scene OR object OR scene OR scene OR scene OR scene OR scene OR scene OR scene),(ice skating rink-indoor-s OR basketball court-indoor-s OR windmill OR martial arts gym-s OR boxing ring-s OR hangar-indoor-s OR wrestling ring-indoor-s OR fire escape-s OR badminton court-indoor-s OR subway station-corridor-s),3.9
17,((((scene OR scene OR scene OR scene OR scene) AND NOT object) OR object OR object OR scene) AND NOT object),((((conference room-s OR auditorium-s OR conference center-s OR movie theater-indoor-s OR theater-indoor procenium-s) AND NOT swivel chair) OR silver screen OR lockers OR courtroom-s) AND NOT bench),5.3
18,(scene OR scene OR object OR scene OR object OR object OR scene OR object OR object OR object),(badlands-s OR forest-needleleaf-s OR slot machine OR junkyard-s OR arcade machine OR tent OR car interior-backseat-s OR animal OR semidesert ground OR cow),4.3
19,((((scene OR object OR material) AND NOT scene) OR scene OR scene OR object OR scene) AND NOT (object OR scene)),((((bakery-shop-s OR case OR food) AND NOT supermarket-s) OR butchers shop-s OR bakery-kitchen-s OR island OR ice cream parlor-s) AND NOT (cabinet OR fastfood restaurant-s)),4.3
20,(((object OR scene OR scene OR scene OR object) AND NOT scene) OR scene OR scene OR scene OR scene),(((house OR motel-s OR zen garden-s OR hunting lodge-outdoor-s OR swimming pool) AND NOT house-s) OR lido deck-outdoor-s OR military hut-s OR barnyard-s OR student residence-s),4.4
21,(((object OR scene OR scene OR object OR part OR scene OR object OR object) AND NOT scene) OR object),(((bookcase OR fire station-s OR videostore-s OR book OR garage door OR library-indoor-s OR book stand OR stands) AND NOT archive-s) OR videos),4.3
22,(object OR scene OR scene OR scene OR scene OR object OR scene OR scene OR object OR scene),(bridge OR river-s OR rope bridge-s OR creek-s OR mountain path-s OR aqueduct OR sandbar-s OR gulch-s OR footbridge OR forest path-s),5.4
23,(((((scene OR scene) AND NOT color) OR scene OR scene OR scene) AND NOT object) OR object OR part OR object),(((((kitchen-s OR youth hostel-s) AND NOT orange-c) OR galley-s OR cubicle-office-s OR kitchenette-s) AND NOT windowpane) OR telephone booth OR fire escape OR microwave),5.2
24,((object OR object OR object OR object OR object) AND NOT (scene OR object)),((fireplace OR buffet OR pulpit OR altar OR microwave) AND NOT (wet bar-s OR windowpane)),6.8
25,(scene OR scene OR object OR scene OR part OR scene OR scene OR scene OR scene),(corridor-s OR sauna-s OR elevator OR basement-s OR fire escape OR cargo container interior-s OR elevator-door-s OR elevator-freight elevator-s OR elevator shaft-s),5.0
26,(object OR scene OR scene OR object OR object OR scene OR object OR object OR object OR object),(pillar OR aqueduct-s OR viaduct-s OR arcade OR bandstand OR arch-s OR aqueduct OR viaduct OR water tower OR gravestone),4.1
27,(scene OR part OR scene OR object OR object OR object OR object OR scene OR scene OR object),(cockpit-s OR wave OR viaduct-s OR hovel OR tent OR fountain OR dam OR dolmen-s OR ski slope-s OR aqueduct),3.1
28,((scene AND object) OR scene OR scene),((alley-s AND building) OR medina-s OR kasbah-s),5.1
29,((object OR object OR scene OR scene OR part) AND NOT (scene OR scene OR scene)),((house OR porch OR inn-outdoor-s OR town house-s OR balcony) AND NOT (hunting lodge-outdoor-s OR alley-s OR apartment building-outdoor-s)),6.2
30,((((scene OR scene OR scene) AND NOT (object OR object OR object)) OR scene) AND NOT (object OR object OR object)),((((balcony-interior-s OR dinette-home-s OR control tower-indoor-s) AND NOT (wall OR door OR floor)) OR balcony-interior-s) AND NOT (curtain OR wall OR door)),5.5
31,((object OR object OR object) AND NOT scene),((pool table OR arcade machine OR television camera) AND NOT television studio-s),4.6
32,(((((color OR scene OR scene) AND NOT color) OR object) AND NOT color) OR scene OR object OR object),(((((red-c OR fire station-s OR bullring-s) AND NOT orange-c) OR ring) AND NOT pink-c) OR throne room-s OR lighthouse OR telephone booth),4.4
